Offense,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Murder and Non-Negligent Manslaughter,20040,21590,21810,20310,17770,18330,19190,19200,21890,22300,22990,24050,22510,23400,22100,21230,19020,18290,17450,14790,13227,13653,14158,13190,13467,14062,13435,13480,12955,12418,11201,10832,11075,10231,10571
Forcible Rape,31380,31710,33600,34080,36700,36970,37140,36310,38610,39110,39160,40120,39100,38420,36610,34650,33050,32060,31070,28830,27469,27270,28288,26350,26066,25528,24535,23307,22584,21407,20088,19491,18098,,
Robbery,146270,153890,157630,146170,138630,136870,145800,138290,149100,165060,167990,173820,173310,173620,172290,171870,156270,132450,120870,108850,106130,108400,105774,107553,108992,114616,125605,126715,129403,126725,112300,106674,103661,94406,94403
Aggravated Assault,277470,283270,313150,298830,300860,305390,351770,352450,416300,459000,475330,480900,507210,518670,547760,568480,521570,534920,506630,483530,478417,477809,472290,449933,438033,449297,447948,433945,429969,421215,408488,397707,388362,358860,372685
Burglary,513300,518900,527100,475800,433600,443300,450600,443400,463400,468900,432600,436500,424000,402700,396100,386500,364800,356000,330700,296100,289844,291444,288291,290956,294645,298835,304801,303853,308479,299351,289769,296707,283582,252629,237974
Larceny-Theft,1191900,1261600,1368100,1315000,1291700,1348400,1400200,1469200,1571200,1604400,1554800,1588300,1504500,1476300,1514500,1530200,1486300,1472600,1307100,1189400,1166362,1160821,1160085,1145074,1185619,1146696,1081157,1172762,1266706,1334933,1271410,1264986,1282352,1231580,1238190
Motor Vehicle Theft,138300,129200,129100,119400,121200,133900,153600,169300,208400,228500,211300,207700,197600,195900,200200,191900,175400,167000,150700,142200,148225,147451,148943,152934,148429,147459,137757,118231,98035,81797,71487,66414,68845,64566,68422
Arson,19800,20600,20500,19800,19000,19500,18700,18000,19700,18600,19100,20000,19900,19400,20900,20000,19000,20000,17200,16800,16530,18749,16635,16163,15504,16337,16582,15242,14125,12204,11296,11776,11433,10509,9394
Other Assaults,488600,494200,543400,547500,527000,637600,711000,787200,901800,978900,1014100,1041200,1074700,1144900,1223600,1290400,1329000,1395800,1338800,1294400,1312169,1315807,1288682,1246698,1284858,1301392,1305757,1305693,1298342,1319458,1292449,1241722,1199476,1097741,1093258
Forgery and Counterfeiting,78200,86600,97300,85600,82400,87600,92200,93900,101700,105400,94800,103700,105400,106900,115300,122300,121600,120100,114600,106900,108654,113741,115735,111823,119518,118455,108823,103448,90127,85844,78101,70211,67046,60969,56783
Fraud,291500,295100,334400,309800,270700,342600,349300,341900,366300,376600,291600,427800,424200,410700,419800,436400,465000,414600,394600,363800,345732,323308,337404,299138,282938,321521,280693,252873,234199,210255,187887,168217,153535,143528,141293
Embezzlement,8500,8700,9000,8800,8100,11400,12600,12700,15500,18200,15300,14000,13700,12900,14300,15200,15700,17400,17100,17100,18952,20157,18552,16826,17332,18970,20012,22381,21402,17920,16616,16190,16023,15730,16227
"Stolen Property; Buying, Receiving, Possessing",123200,129500,137500,127700,123100,127100,135800,139300,166300,176800,165200,170000,161500,158100,164700,166500,151100,155300,137900,121900,118641,121972,126422,126775,128529,133856,122722,122061,111319,105303,94802,93234,97670,92691,88946
Vandalism,250500,242600,245700,243500,245900,259600,259600,273500,295300,307800,326000,335100,323100,313000,323300,311100,320900,318400,300200,278200,281305,270645,276697,273431,272522,279562,300679,291575,285012,270439,252753,237638,228463,201168,198400
"Weapons; Carrying, Possessing, etc.",166700,179700,193500,179600,177500,180900,190500,191700,221800,225200,221200,232300,239300,262300,259400,243900,216200,218900,190600,172400,159181,165896,164446,167972,175776,193469,200782,188891,179661,166334,159020,153519,149286,137779,140713
Prostitution and Commercialized Vice,88900,106600,121200,125600,112200,113800,112600,110100,104100,107400,111400,98900,96200,97800,98800,97700,99000,101600,94000,92100,87620,80854,79733,75190,87872,84891,79673,77607,75004,71355,62668,57345,56575,48620,47598
